id,age,overall_scores,potential_scores,height,weight,wage,total_stats,international_reputation,nationality_Brazil,nationality_England,nationality_France,nationality_Germany,nationality_Other,nationality_Spain,better_position_Defense,better_position_Goalkeeper,better_position_Midfield,foot_Right,value
176545,1.5756186754565302,0.5922907736492798,-0.25501802089630893,-0.8651886509609593,-0.040254349788996314,-0.21654783833779034,0.6916418036909776,-0.32686744294467235,0,0,0,0,1,0,0,0,1,1,1400000
176546,1.169195180035568,0.8846647828893628,0.09365669852500023,-1.2339952031400547,-0.41972647891701564,-0.21654783833779034,1.599403015682877,1.9121811127470998,0,0,0,0,1,0,0,0,1,1,2600000
176550,1.169195180035568,1.7617868106096115,1.1396808567889276,0.24123100557633098,0.6559095929863035,1.7658188960283216,-1.6816152632539456,1.9121811127470998,0,0,0,0,1,0,0,1,0,1,8000000
176553,1.7788304231670113,0.8846647828893628,0.09365669852500023,1.3476506621136213,0.2764374638582841,0.7746355288452657,0.9878181313324024,1.9121811127470998,0,0,0,0,1,0,0,0,1,1,1900000
176571,0.9659834323250869,1.3232257967494871,0.6166687776569639,-0.8651886509609593,-0.41972647891701564,0.8690339447674614,1.618635244750502,4.151229668438872,0,0,0,0,1,0,0,0,1,0,7500000
176578,-0.4564988016482809,-1.3081402864112592,-0.9523674597389272,0.24123100557633098,-0.040254349788996314,-0.35814546222108407,-2.2393499062150704,-0.32686744294467235,0,0,0,0,1,0,0,1,0,1,170000
176580,1.5756186754565302,2.9312828475699435,2.534379734474164,0.24123100557633098,1.541809600325615,4.928165829421881,2.6302504937075764,8.629326779822417,0,0,0,0,1,0,0,0,0,1,31500000
176585,2.3884656662984547,-0.13864424945092746,-1.126704819449582,1.7164572142927166,1.6687653494088857,-0.47614348212382884,-0.46998483199357155,-0.32686744294467235,0,0,0,0,1,0,1,0,0,1,130000
176592,1.5756186754565302,-0.7233922679310933,-1.8240542582922001,1.7164572142927166,1.9212817294536344,-0.40534467018218195,-1.304663573528496,-0.32686744294467235,0,0,0,0,1,0,1,0,0,1,140000
176599,2.1852539185879736,-0.28483125407096893,-1.3010421791602365,-0.1275755466027644,-0.040254349788996314,-0.47614348212382884,0.27622565583027786,-0.32686744294467235,0,0,0,0,1,0,0,0,0,0,190000
176600,1.5756186754565302,1.7617868106096115,1.1396808567889276,-1.2339952031400547,-0.7364182925642981,1.5298228562228322,1.472470303836552,4.151229668438872,0,0,1,0,0,0,0,0,0,1,8000000
176608,1.169195180035568,0.5922907736492798,-0.25501802089630893,-1.2339952031400547,-0.7364182925642981,-0.35814546222108407,0.7685707199614775,-0.32686744294467235,0,0,0,0,1,0,0,0,1,0,2100000
176619,1.7788304231670113,0.7384777782693214,-0.08068066118565434,0.6100375577554263,0.4033932129415549,-0.40534467018218195,0.9724323480783024,1.9121811127470998,0,0,0,0,1,0,0,0,0,1,1600000
176635,1.169195180035568,2.200347824469736,1.6626929359208915,-0.1275755466027644,-0.5466822280002884,4.220177710005413,0.8224209613508274,6.390278224130644,0,0,0,1,0,0,0,0,1,0,19500000
176657,1.9820421708774925,-0.4310182586910104,-1.475379538870891,-0.4963820987818598,-0.7364182925642981,-0.47614348212382884,-0.03918290087877189,-0.32686744294467235,0,0,0,0,1,0,0,0,0,1,210000
176676,1.372406927746049,2.3465348290897774,1.837030295631546,-0.8651886509609593,-0.040254349788996314,7.524122267282267,2.218680791660401,6.390278224130644,1,0,0,0,0,0,1,0,0,0,16000000
176687,1.5756186754565302,0.44610376902923843,-0.4293553806069635,-0.1275755466027644,0.5303489620248276,-0.16934863037669243,0.7224133701991775,1.9121811127470998,0,0,0,1,0,0,1,0,0,1,800000
176693,1.5756186754565302,0.7384777782693214,-0.08068066118565434,-0.1275755466027644,1.7957210984921566,-0.16934863037669243,0.3916190302360278,-0.32686744294467235,0,0,1,0,0,0,1,0,0,1,1500000
176717,1.7788304231670113,0.5922907736492798,-0.25501802089630893,0.24123100557633098,0.8456456575503132,-0.26374704629888823,-0.07764735901402185,-0.32686744294467235,0,0,0,0,1,0,1,0,0,1,875000
176731,1.7788304231670113,0.5922907736492798,-0.25501802089630893,0.9788441099345259,1.2251177866783325,-0.35814546222108407,0.7031811411315526,1.9121811127470998,0,0,0,0,1,0,1,0,0,1,900000
176733,1.5756186754565302,1.3232257967494871,0.6166687776569639,0.24123100557633098,-0.16581498075047416,-0.4997430861043778,0.8108816239102525,4.151229668438872,0,0,0,0,1,0,0,0,0,1,0
176768,1.7788304231670113,0.7384777782693214,-0.08068066118565434,0.9788441099345259,0.6559095929863035,-0.40534467018218195,1.1993726510762772,-0.32686744294467235,1,0,0,0,0,0,0,0,1,1,1000000
176769,1.7788304231670113,2.200347824469736,1.6626929359208915,-0.1275755466027644,-0.16581498075047416,0.4442410731175804,1.414773616633677,4.151229668438872,1,0,0,0,0,0,0,0,0,1,11500000
176772,1.169195180035568,1.3232257967494871,0.6166687776569639,0.24123100557633098,0.6559095929863035,0.20824503331209082,-1.6546901425592706,-0.32686744294467235,0,0,0,0,1,0,0,1,0,1,4900000
176790,1.372406927746049,0.29991676440919696,-0.6036927403176181,0.24123100557633098,-0.2927707298337449,-0.26374704629888823,0.7801100574020525,1.9121811127470998,0,0,0,1,0,0,0,0,1,1,825000
176794,1.5756186754565302,1.1770387921294456,0.44233141794630937,1.7164572142927166,0.4033932129415549,-0.027751006493398712,1.0570541559758524,1.9121811127470998,0,0,0,0,1,0,0,0,0,1,4200000
176841,1.169195180035568,0.7384777782693214,-0.08068066118565434,0.6100375577554263,0.2764374638582841,0.20824503331209082,0.6570237913692526,-0.32686744294467235,0,1,0,0,0,0,0,0,0,0,2800000
176849,1.372406927746049,0.15372975978915548,-0.7780301000282727,0.24123100557633098,-0.861978923525774,-0.3109462542599862,0.27237921001675286,-0.32686744294467235,0,0,1,0,0,0,1,0,0,1,550000
176894,2.1852539185879736,1.0308517875094043,0.2679940582356548,-1.60280175531915,-1.1158904216923176,0.2554442412731887,1.2570693382791522,-0.32686744294467235,1,0,0,0,0,0,0,0,1,1,1900000
176895,2.1852539185879736,0.15372975978915548,-0.7780301000282727,0.24123100557633098,0.5303489620248276,-0.40534467018218195,-1.2123488740038961,-0.32686744294467235,0,0,0,0,1,0,0,1,0,1,150000
