id,age,overall_scores,potential_scores,height,weight,wage,release_clause,total_stats,international_reputation,nationality_Brazil,nationality_England,nationality_France,nationality_Germany,nationality_Other,nationality_Spain,better_position_Defense,better_position_Goalkeeper,better_position_Midfield,foot_Right,value
2,1.6473982846922655,0.8425150087590718,-0.39558218543849716,0.3098761746230945,1.0950423188419494,0.7000845667007634,-1.0920105012098005,1.6679837157368484,3.593311782692715,0,0,0,0,1,0,1,0,0,0,625000
16,2.4510310106918305,1.2303005021317068,0.028041485939387607,-0.4537616097882731,-1.4192938315106722,0.7000845667007634,-0.14589377226134015,1.550349375361029,-0.223770663226348,0,0,0,0,0,1,0,0,1,1,600000
27,1.6473982846922655,1.2303005021317068,0.028041485939387607,-0.8355805019939612,-0.22775518021247457,2.5904597452695,-1.0920105012098005,0.8547724061822707,3.593311782692715,0,1,0,0,0,0,0,0,1,1,1100000
61,0.4419491956929183,0.26083676870011935,-0.18377034974955478,-1.217399394199645,-0.09503790081451181,0.22749077205857926,-1.0920105012098005,0.23591348507469886,3.593311782692715,0,0,0,1,0,0,0,0,0,1,725000
249,2.049214647692048,1.8119787421906592,0.6634769930062148,-0.07194271758258927,0.23456765021779324,0.7000845667007634,-1.0920105012098005,1.355996986914023,3.593311782692715,0,1,0,0,0,0,1,0,0,1,120000
250,2.4510310106918305,2.5875497289359295,1.5107243357619844,0.3098761746230945,0.036220946941716396,-0.9539937145468811,-1.0920105012098005,2.0924902483974144,7.410394228611778,0,1,0,0,0,0,0,0,1,1,0
330,2.049214647692048,2.9753352223085643,1.934348007139869,-0.8355805019939612,-0.22775518021247457,1.4089752586640398,-1.0920105012098005,1.8981378599504082,3.593311782692715,0,0,0,0,1,0,0,0,0,1,5500000
1001,2.852847373691613,0.8425150087590718,-0.39558218543849716,1.8371517434458342,2.4178398178963754,-0.9539937145468811,-1.0920105012098005,-2.6537996589399957,3.593311782692715,0,0,0,0,1,0,0,1,0,1,0
1088,2.4510310106918305,1.6180859955043418,0.4516651573172724,1.0735139590344664,0.6327194884116836,0.4637876693796713,-1.0920105012098005,-0.2806547052712908,7.410394228611778,0,0,0,0,1,0,1,0,0,1,0
1198,2.4510310106918305,1.6180859955043418,0.4516651573172724,-0.07194271758258927,-0.09503790081451181,2.5904597452695,-1.0920105012098005,-0.4903507033325341,7.410394228611778,0,0,0,0,1,0,0,0,0,1,350000
1625,2.2501228291919393,2.7814424756222467,1.7225361714509269,1.0735139590344664,1.227759598239914,-0.9539937145468811,-1.0920105012098005,1.4276004984471304,7.410394228611778,0,0,1,0,0,0,0,0,1,1,0
2062,1.8483064661921567,0.8425150087590718,-0.39558218543849716,-0.8355805019939612,-0.8227952900407051,-0.2451030225836049,-1.0920105012098005,1.3662260599901812,-0.223770663226348,0,1,0,0,0,0,0,0,1,1,275000
2147,2.4510310106918305,1.4241932488180242,0.23985332162833,2.600789527857206,2.550557097294338,0.22749077205857926,-0.7006622178720282,-2.3162402474267747,3.593311782692715,0,0,0,0,1,0,0,1,0,1,325000
2196,2.2501228291919393,2.0058714888769766,0.8752888286951572,1.4553328512401502,2.2194931146202985,3.7719442318749605,0.19814867462900906,-2.7867776089300524,3.593311782692715,0,0,0,1,0,0,0,1,0,0,900000
2231,2.4510310106918305,0.26083676870011935,-1.0310176925053243,0.6916950668287783,2.683274376692301,-0.008806125262512812,-1.0920105012098005,0.389349581217072,3.593311782692715,0,1,0,0,0,0,0,0,0,1,80000
2651,3.053755555191504,1.6180859955043418,0.4516651573172724,0.6916950668287783,1.3590184459961403,3.7719442318749605,-1.0920105012098005,-1.9428790801470002,3.593311782692715,0,0,0,0,1,0,0,1,0,1,500000
2837,2.2501228291919393,-0.3208414713588332,-1.6664531995721514,0.3098761746230945,0.036220946941716396,-0.9539937145468811,-1.0920105012098005,0.9366049907915364,3.593311782692715,0,0,0,0,1,0,1,0,0,1,35000
2956,1.4464901031923743,2.1997642355632943,1.0871006643840995,-0.07194271758258927,0.367284929615756,3.7719442318749605,-1.0920105012098005,1.6219528868941364,7.410394228611778,0,0,0,0,1,0,0,0,1,1,2200000
3281,2.2501228291919393,1.4241932488180242,0.23985332162833,1.0735139590344664,0.5000022090137187,0.4637876693796713,0.6282017332419455,1.6372964965083738,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,975000
3395,1.8483064661921567,0.6486222620727543,-0.6073940211274396,-2.362856070816701,-1.5505526792668993,0.4637876693796713,-1.0920105012098005,0.7217944561922139,3.593311782692715,0,1,0,0,0,0,0,0,1,1,425000
3467,2.4510310106918305,1.2303005021317068,0.028041485939387607,0.6916950668287783,0.5000022090137187,0.4637876693796713,0.026127451183834458,0.778054358111084,-0.223770663226348,1,0,0,0,0,0,0,0,0,1,850000
3484,2.4510310106918305,0.26083676870011935,-1.0310176925053243,1.4553328512401502,1.3590184459961403,0.7000845667007634,-0.9449323551641762,-0.7153903110080148,3.593311782692715,0,0,0,0,1,0,1,0,0,1,45000
3622,2.6519391921917217,2.7814424756222467,1.7225361714509269,0.3098761746230945,0.6327194884116836,-0.9539937145468811,-1.0920105012098005,0.5120984581309705,7.410394228611778,0,0,0,0,1,0,1,0,0,1,0
4114,1.8483064661921567,-0.3208414713588332,-1.6664531995721514,-0.4537616097882731,0.367284929615756,-0.48139991990469694,-1.0920105012098005,0.486525775440575,-0.223770663226348,0,0,0,0,1,0,1,0,0,1,50000
4202,1.8483064661921567,2.5875497289359295,1.5107243357619844,-0.4537616097882731,0.367284929615756,3.7719442318749605,-1.0920105012098005,1.304851621533232,7.410394228611778,0,0,0,0,1,0,0,0,1,1,825000
5203,2.049214647692048,1.2303005021317068,0.028041485939387607,0.3098761746230945,0.23456765021779324,0.4637876693796713,-1.0920105012098005,2.026001273402386,7.410394228611778,0,0,0,0,1,0,0,0,1,1,130000
5231,1.245581921692483,-0.3208414713588332,-1.6664531995721514,-0.07194271758258927,0.367284929615756,-0.008806125262512812,-1.0920105012098005,0.4609530927501795,3.593311782692715,0,0,1,0,0,0,1,0,0,1,120000
5419,1.4464901031923743,1.8119787421906592,0.6634769930062148,-1.217399394199645,-0.691536442284479,1.4089752586640398,-1.0920105012098005,0.7575962119587676,3.593311782692715,0,1,0,0,0,0,0,0,0,1,1800000
